Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C185 Postcode 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2745,2745,14900,Liverpool (C),0.0462826,4.6282604,,,,,,,
2745,2745,16350,Penrith (C),0.9425455,94.2545466,,,,,,,
2745,2745,18400,Wollondilly (A),0.0110305,1.1030466,,,,,,,
2747,2747,10750,Blacktown (C),0.0115888,1.1588765,,,,,,,
2747,2747,16350,Penrith (C),0.9884112,98.8411235,,,,,,,
2748,2748,16350,Penrith (C),1.0,100.0,,,,,,,
2749,2749,16350,Penrith (C),1.0,100.0,,,,,,,
2750,2750,16350,Penrith (C),1.0,100.0,,,,,,,
2752,2752,18400,Wollondilly (A),1.0,99.9999994,,,,,,,
2753,2753,13800,Hawkesbury (C),0.7450745,74.5074508,,,,,,,
2753,2753,16350,Penrith (C),0.2549255,25.4925492,,,,,,,
2754,2754,13800,Hawkesbury (C),1.0,100.0,,,,,,,
2755,2755,13800,Hawkesbury (C),1.0,100.0,,,,,,,
2756,2756,13800,Hawkesbury (C),0.9451517,94.5151737,,,,,,,
2756,2756,14000,Hornsby (A),0.0027991,0.2799136,,,,,,,
2756,2756,16350,Penrith (C),0.0002564,0.0256388,,,,,,,
2756,2756,17420,The Hills Shire (A),0.0517927,5.1792739,,,,,,,
2757,2757,13800,Hawkesbury (C),1.0,100.0,,,,,,,
2758,2758,10900,Blue Mountains (C),0.012948,1.2948023,,,,,,,
2758,2758,13800,Hawkesbury (C),0.987052,98.7051977,,,,,,,
2759,2759,16350,Penrith (C),1.0,100.0,,,,,,,
2760,2760,10750,Blacktown (C),0.0545439,5.4543915,,,,,,,
2760,2760,16350,Penrith (C),0.9454561,94.5456085,,,,,,,
2761,2761,10750,Blacktown (C),1.0,100.0,,,,,,,
2762,2762,10750,Blacktown (C),1.0,100.0,,,,,,,
2763,2763,10750,Blacktown (C),1.0,100.0,,,,,,,
2765,2765,10750,Blacktown (C),0.4982559,49.8255892,,,,,,,
2765,2765,13800,Hawkesbury (C),0.2518304,25.1830411,,,,,,,
2765,2765,16350,Penrith (C),0.1166217,11.6621741,,,,,,,
2765,2765,17420,The Hills Shire (A),0.133292,13.3291956,,,,,,,
2766,2766,10750,Blacktown (C),1.0,100.0,,,,,,,
2767,2767,10750,Blacktown (C),1.0,100.0,,,,,,,
2768,2768,10750,Blacktown (C),1.0,100.0,,,,,,,
2769,2769,10750,Blacktown (C),1.0,100.0,,,,,,,
2770,2770,10750,Blacktown (C),1.0,100.0,,,,,,,
2773,2773,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2774,2774,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2775,2775,13100,Gosford (C),0.311762,31.1761966,,,,,,,
2775,2775,13800,Hawkesbury (C),0.4674058,46.7405799,,,,,,,
2775,2775,14000,Hornsby (A),0.1207937,12.0793656,,,,,,,
2775,2775,17420,The Hills Shire (A),0.1000386,10.0038579,,,,,,,
2776,2776,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2777,2777,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2778,2778,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2779,2779,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2780,2780,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2782,2782,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2783,2783,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2784,2784,10900,Blue Mountains (C),1.0,100.0,,,,,,,
2785,2785,10900,Blue Mountains (C),0.9997689,99.9768867,,,,,,,
2785,2785,14870,Lithgow (C),0.0002311,0.0231133,,,,,,,
2786,2786,10900,Blue Mountains (C),0.9118391,91.1839083,,,,,,,
2786,2786,14870,Lithgow (C),0.0881609,8.8160917,,,,,,,
2787,2787,10470,Bathurst Regional (A),0.0038704,0.3870396,,,,,,,
2787,2787,10900,Blue Mountains (C),0.0103335,1.0333513,,,,,,,
2787,2787,14870,Lithgow (C),0.0227369,2.2736869,,,,,,,
2787,2787,16100,Oberon (A),0.9609384,96.0938419,,,,,,,
2787,2787,17640,Upper Lachlan Shire (A),0.000469,0.0469026,,,,,,,
2787,2787,18400,Wollondilly (A),0.0016449,0.1644869,,,,,,,
2790,2790,10900,Blue Mountains (C),0.0001433,0.0143313,,,,,,,
2790,2790,14870,Lithgow (C),0.9982359,99.8235928,,,,,,,
2790,2790,16100,Oberon (A),0.0016208,0.1620759,,,,,,,
2791,2791,10850,Blayney (A),1.0,100.0,,,,,,,
2792,2792,10850,Blayney (A),0.897559,89.7559013,,,,,,,
2792,2792,12350,Cowra (A),0.102441,10.2440987,,,,,,,
2793,2793,12350,Cowra (A),1.0,100.0,,,,,,,
2794,2794,11050,Boorowa (A),0.0055272,0.5527231,,,,,,,
2794,2794,12350,Cowra (A),0.9883557,98.8355661,,,,,,,
2794,2794,18100,Weddin (A),0.0061171,0.6117108,,,,,,,
2795,2795,10470,Bathurst Regional (A),0.9609394,96.0939357,,,,,,,
2795,2795,10850,Blayney (A),0.0072778,0.7277821,,,,,,,
2795,2795,11400,Cabonne (A),0.0002259,0.0225908,,,,,,,
2795,2795,14870,Lithgow (C),0.0064518,0.6451809,,,,,,,
2795,2795,15270,Mid-Western Regional (A),0.0025179,0.2517855,,,,,,,
2795,2795,16100,Oberon (A),0.0225873,2.258725,,,,,,,
2797,2797,10850,Blayney (A),0.9999999,99.9999883,,,,,,,
2798,2798,10850,Blayney (A),0.6792838,67.92838,,,,,,,
2798,2798,11400,Cabonne (A),0.1256588,12.565885,,,,,,,
2798,2798,16150,Orange (C),0.1950574,19.505735,,,,,,,
2799,2799,10470,Bathurst Regional (A),0.0216086,2.1608581,,,,,,,
2799,2799,10850,Blayney (A),0.965188,96.5188042,,,,,,,
2799,2799,11400,Cabonne (A),0.0076167,0.7616659,,,,,,,
2799,2799,12350,Cowra (A),0.0055867,0.5586718,,,,,,,
2800,2800,10850,Blayney (A),0.0027524,0.2752398,,,,,,,
2800,2800,11400,Cabonne (A),0.0969767,9.6976713,,,,,,,
2800,2800,16150,Orange (C),0.8994811,89.9481061,,,,,,,
2800,2800,18150,Wellington (A),0.0007898,0.0789829,,,,,,,
2803,2803,18750,Young (A),1.0,100.0,,,,,,,
2804,2804,11400,Cabonne (A),0.7877048,78.7704765,,,,,,,
2804,2804,12350,Cowra (A),0.2122952,21.2295235,,,,,,,
2805,2805,11400,Cabonne (A),0.1161832,11.6183237,,,,,,,
2805,2805,12350,Cowra (A),0.8155698,81.5569829,,,,,,,
2805,2805,12900,Forbes (A),0.0682469,6.8246935,,,,,,,
2806,2806,11400,Cabonne (A),0.8634647,86.3464721,,,,,,,
2806,2806,12900,Forbes (A),0.1365353,13.6535279,,,,,,,
2807,2807,12350,Cowra (A),0.2880063,28.8006256,,,,,,,
2807,2807,18750,Young (A),0.7119937,71.1993744,,,,,,,
2808,2808,11050,Boorowa (A),0.2161808,21.618084,,,,,,,
2808,2808,12350,Cowra (A),0.7791789,77.9178939,,,,,,,
2808,2808,17640,Upper Lachlan Shire (A),0.0046402,0.4640221,,,,,,,
2809,2809,18100,Weddin (A),1.0,100.0,,,,,,,
2810,2810,12900,Forbes (A),0.0006532,0.0653193,,,,,,,
2810,2810,18100,Weddin (A),0.9993465,99.9346487,,,,,,,
2820,2820,18150,Wellington (A),1.0,100.0,,,,,,,
2821,2821,15850,Narromine (A),1.0,100.0,,,,,,,
2823,2823,15850,Narromine (A),0.9334532,93.3453212,,,,,,,
2823,2823,16200,Parkes (A),0.0021291,0.2129148,,,,,,,
2823,2823,17950,Warren (A),0.0644176,6.441764,,,,,,,
2824,2824,17950,Warren (A),1.0,100.0,,,,,,,
2825,2825,10950,Bogan (A),0.9697118,96.9711759,,,,,,,
2825,2825,14600,Lachlan (A),0.005743,0.5743025,,,,,,,
2825,2825,17950,Warren (A),0.0245452,2.4545216,,,,,,,
2827,2827,12950,Gilgandra (A),0.9751871,97.5187094,,,,,,,
2827,2827,17950,Warren (A),0.0248129,2.4812906,,,,,,,
2828,2828,12150,Coonamble (A),0.8553595,85.5359541,,,,,,,
2828,2828,12950,Gilgandra (A),0.1446405,14.4640459,,,,,,,
2829,2829,12150,Coonamble (A),0.9837536,98.3753607,,,,,,,
2829,2829,18020,Warrumbungle Shire (A),0.0162464,1.6246393,,,,,,,
2830,2830,12600,Dubbo (C),0.9976491,99.7649074,,,,,,,
2830,2830,12950,Gilgandra (A),0.0016377,0.1637695,,,,,,,
2830,2830,18150,Wellington (A),0.0007132,0.0713231,,,,,,,
2831,2831,10950,Bogan (A),0.0841016,8.4101596,,,,,,,
2831,2831,11150,Bourke (A),0.0040115,0.4011477,,,,,,,
2831,2831,11200,Brewarrina (A),0.0797569,7.9756882,,,,,,,
2831,2831,11750,Cobar (A),0.0257203,2.5720261,,,,,,,
2831,2831,12150,Coonamble (A),0.0766741,7.6674092,,,,,,,
2831,2831,12600,Dubbo (C),0.2452832,24.5283189,,,,,,,
2831,2831,12950,Gilgandra (A),0.1324147,13.2414684,,,,,,,
2831,2831,17900,Walgett (A),0.0351537,3.5153744,,,,,,,
2831,2831,17950,Warren (A),0.0757309,7.5730909,,,,,,,
2831,2831,18020,Warrumbungle Shire (A),0.0348528,3.4852802,,,,,,,
2831,2831,18150,Wellington (A),0.2063004,20.6300363,,,,,,,
2832,2832,11200,Brewarrina (A),0.0137026,1.3702577,,,,,,,
2832,2832,17900,Walgett (A),0.9862974,98.6297423,,,,,,,
2833,2833,15300,Moree Plains (A),0.052991,5.2991001,,,,,,,
2833,2833,17900,Walgett (A),0.947009,94.7008999,,,,,,,
2834,2834,17900,Walgett (A),1.0,100.0,,,,,,,
2835,2835,10950,Bogan (A),0.001893,0.1892967,,,,,,,
2835,2835,11750,Cobar (A),0.998107,99.8107033,,,,,,,
2836,2836,11700,Central Darling (A),0.9600965,96.0096452,,,,,,,
2836,2836,19399,Unincorporated NSW,0.0399035,3.9903548,,,,,,,
2839,2839,11200,Brewarrina (A),1.0,100.0,,,,,,,
2840,2840,11150,Bourke (A),0.9600925,96.0092461,,,,,,,
2840,2840,11200,Brewarrina (A),0.0006316,0.0631553,,,,,,,
2840,2840,11700,Central Darling (A),0.0128227,1.2822682,,,,,,,
2840,2840,11750,Cobar (A),0.0070875,0.7087462,,,,,,,
2840,2840,19399,Unincorporated NSW,0.0193658,1.9365843,,,,,,,
2842,2842,12950,Gilgandra (A),0.0985525,9.8552498,,,,,,,
2842,2842,18020,Warrumbungle Shire (A),0.9014475,90.1447464,,,,,,,
2843,2843,18020,Warrumbungle Shire (A),1.0,100.0,,,,,,,
2844,2844,15270,Mid-Western Regional (A),0.037794,3.7794045,,,,,,,
2844,2844,18020,Warrumbungle Shire (A),0.962206,96.2205955,,,,,,,
2845,2845,14870,Lithgow (C),1.0,100.0,,,,,,,
2846,2846,14870,Lithgow (C),0.9848574,98.4857443,,,,,,,
2846,2846,15270,Mid-Western Regional (A),0.0151426,1.5142557,,,,,,,
2847,2847,14870,Lithgow (C),1.0,100.0,,,,,,,
2848,2848,14870,Lithgow (C),0.000606,0.0605999,,,,,,,
2848,2848,15270,Mid-Western Regional (A),0.999394,99.9394001,,,,,,,
2849,2849,14870,Lithgow (C),0.142661,14.2660953,,,,,,,
2849,2849,15270,Mid-Western Regional (A),0.857339,85.7339047,,,,,,,
2850,2850,10470,Bathurst Regional (A),0.0075356,0.7535552,,,,,,,
2850,2850,15270,Mid-Western Regional (A),0.9911076,99.1107643,,,,,,,
2850,2850,17620,Upper Hunter Shire (A),0.0006641,0.0664141,,,,,,,
2850,2850,18150,Wellington (A),0.0006853,0.0685335,,,,,,,
2852,2852,15270,Mid-Western Regional (A),0.9965597,99.6559698,,,,,,,
2852,2852,18150,Wellington (A),0.0034403,0.3440302,,,,,,,
2864,2864,11400,Cabonne (A),1.0,100.0,,,,,,,
2865,2865,11400,Cabonne (A),1.0,100.0,,,,,,,
2866,2866,11400,Cabonne (A),0.9232072,92.3207247,,,,,,,
2866,2866,18150,Wellington (A),0.0767928,7.6792753,,,,,,,
2867,2867,11400,Cabonne (A),0.9008569,90.0856892,,,,,,,
2867,2867,18150,Wellington (A),0.0991431,9.9143108,,,,,,,
2868,2868,11400,Cabonne (A),0.8003428,80.0342814,,,,,,,
2868,2868,18150,Wellington (A),0.1996557,19.9655718,,,,,,,
2869,2869,15850,Narromine (A),0.2213012,22.1301154,,,,,,,
2869,2869,16200,Parkes (A),0.7786982,77.8698168,,,,,,,
2870,2870,11400,Cabonne (A),0.0044028,0.4402824,,,,,,,
2870,2870,12900,Forbes (A),0.0042335,0.4233525,,,,,,,
2870,2870,16200,Parkes (A),0.9913637,99.1363651,,,,,,,
2871,2871,12900,Forbes (A),0.9895588,98.9558809,,,,,,,
2871,2871,14600,Lachlan (A),0.0075444,0.7544429,,,,,,,
2871,2871,16200,Parkes (A),0.0009005,0.0900465,,,,,,,
2871,2871,18100,Weddin (A),0.0019963,0.1996297,,,,,,,
2873,2873,14600,Lachlan (A),1.0,100.0,,,,,,,
2874,2874,14600,Lachlan (A),0.235654,23.5654041,,,,,,,
2874,2874,16200,Parkes (A),0.764346,76.4345959,,,,,,,
2875,2875,12900,Forbes (A),0.0799305,7.9930497,,,,,,,
2875,2875,14600,Lachlan (A),0.1537608,15.3760777,,,,,,,
2875,2875,16200,Parkes (A),0.7663087,76.6308726,,,,,,,
2876,2876,16200,Parkes (A),1.0,100.0,,,,,,,
2877,2877,11750,Cobar (A),0.0672441,6.7244058,,,,,,,
2877,2877,12900,Forbes (A),0.0033113,0.3311343,,,,,,,
2877,2877,14600,Lachlan (A),0.9294446,92.9444592,,,,,,,
2878,2878,10300,Balranald (A),0.0549562,5.4956245,,,,,,,
2878,2878,11600,Carrathool (A),0.0947605,9.476051,,,,,,,
2878,2878,11700,Central Darling (A),0.8502832,85.0283245,,,,,,,
2879,2879,11700,Central Darling (A),0.9618762,96.187617,,,,,,,
2879,2879,19399,Unincorporated NSW,0.0381238,3.812383,,,,,,,
2880,2880,11250,Broken Hill (C),0.9710063,97.1006306,,,,,,,
2880,2880,19399,Unincorporated NSW,0.0289937,2.8993694,,,,,,,
2898,2898,19399,Unincorporated NSW,1.0,100.0,,,,,,,
2900,2900,16180,Palerang (A),0.0026987,0.2698709,,,,,,,
2900,2900,89399,Unincorporated ACT,0.9973013,99.7301291,,,,,,,
2902,2902,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2903,2903,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2904,2904,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2905,2905,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2906,2906,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2911,2911,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2912,2912,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2913,2913,89399,Unincorporated ACT,1.0,100.0,,,,,,,
2914,2914,89399,Unincorporated ACT,1.0,100.0,,,,,,,
3000,3000,24600,Melbourne (C),1.0,100.0,,,,,,,
3002,3002,24600,Melbourne (C),1.0,100.0,,,,,,,
3003,3003,24600,Melbourne (C),1.0,100.0,,,,,,,
3004,3004,24600,Melbourne (C),0.2191342,21.913416,,,,,,,
3004,3004,25900,Port Phillip (C),0.7808658,78.086584,,,,,,,
3005,3005,24600,Melbourne (C),1.0,100.0,,,,,,,
3006,3006,24600,Melbourne (C),0.9969993,99.6999321,,,,,,,
3006,3006,25900,Port Phillip (C),0.0030007,0.3000679,,,,,,,
3008,3008,24600,Melbourne (C),1.0,100.0,,,,,,,
3010,3010,24600,Melbourne (C),1.0,100.0,,,,,,,
3011,3011,24330,Maribyrnong (C),1.0,100.0,,,,,,,
3012,3012,21180,Brimbank (C),0.0002165,0.0216454,,,,,,,
3012,3012,23110,Hobsons Bay (C),0.0706104,7.0610407,,,,,,,
3012,3012,24330,Maribyrnong (C),0.9291731,92.9173139,,,,,,,
3013,3013,24330,Maribyrnong (C),1.0,99.9999952,,,,,,,
3015,3015,23110,Hobsons Bay (C),1.0,99.9999994,,,,,,,
3016,3016,23110,Hobsons Bay (C),1.0,100.0,,,,,,,
3018,3018,23110,Hobsons Bay (C),1.0,100.0,,,,,,,
3019,3019,24330,Maribyrnong (C),1.0,100.0,,,,,,,
3020,3020,21180,Brimbank (C),1.0,100.0,,,,,,,
3021,3021,21180,Brimbank (C),1.0,100.0,,,,,,,
3022,3022,21180,Brimbank (C),1.0,100.0,,,,,,,
3023,3023,21180,Brimbank (C),0.4517794,45.1779401,,,,,,,
3023,3023,24650,Melton (S),0.5482206,54.8220599,,,,,,,
3024,3024,24650,Melton (S),0.0197169,1.9716925,,,,,,,
3024,3024,27260,Wyndham (C),0.9802831,98.0283075,,,,,,,
3025,3025,23110,Hobsons Bay (C),1.0,99.9999961,,,,,,,
3026,3026,23110,Hobsons Bay (C),0.1127786,11.2778566,,,,,,,
3026,3026,27260,Wyndham (C),0.8872214,88.7221434,,,,,,,
3027,3027,27260,Wyndham (C),1.0,100.0,,,,,,,
3028,3028,23110,Hobsons Bay (C),0.9967073,99.6707294,,,,,,,
3028,3028,27260,Wyndham (C),0.0032927,0.3292706,,,,,,,
3029,3029,24650,Melton (S),0.0004711,0.0471122,,,,,,,
3029,3029,27260,Wyndham (C),0.9995289,99.9528878,,,,,,,
3030,3030,21180,Brimbank (C),0.0770888,7.7088753,,,,,,,
3030,3030,27260,Wyndham (C),0.9229112,92.2911247,,,,,,,
3031,3031,24600,Melbourne (C),0.5676159,56.7615887,,,,,,,
3031,3031,25060,Moonee Valley (C),0.4323841,43.2384113,,,,,,,
3032,3032,24330,Maribyrnong (C),0.4009999,40.0999947,,,,,,,
3032,3032,25060,Moonee Valley (C),0.599,59.9000045,,,,,,,
3033,3033,21180,Brimbank (C),0.0014912,0.1491224,,,,,,,
3033,3033,25060,Moonee Valley (C),0.9985088,99.8508776,,,,,,,
3034,3034,25060,Moonee Valley (C),1.0,100.0,,,,,,,
3036,3036,21180,Brimbank (C),0.9839457,98.3945746,,,,,,,
3036,3036,23270,Hume (C),0.0160543,1.6054254,,,,,,,
3037,3037,21180,Brimbank (C),0.427712,42.7712001,,,,,,,
3037,3037,24650,Melton (S),0.572288,57.2287999,,,,,,,
3038,3038,21180,Brimbank (C),1.0,100.0,,,,,,,
3039,3039,25060,Moonee Valley (C),1.0,100.0,,,,,,,
3040,3040,25060,Moonee Valley (C),1.0,99.9999989,,,,,,,
3041,3041,25060,Moonee Valley (C),1.0,99.9999967,,,,,,,
3042,3042,21180,Brimbank (C),0.1769938,17.6993779,,,,,,,
3042,3042,25060,Moonee Valley (C),0.8230062,82.3006221,,,,,,,
3043,3043,21180,Brimbank (C),0.0003467,0.0346697,,,,,,,
3043,3043,23270,Hume (C),0.8412078,84.1207757,,,,,,,
3043,3043,25250,Moreland (C),0.1584455,15.8445546,,,,,,,
3044,3044,25250,Moreland (C),0.9999877,99.9987693,,,,,,,
3045,3045,23270,Hume (C),1.0,100.0,,,,,,,
3046,3046,25250,Moreland (C),1.0,99.9999996,,,,,,,
3047,3047,23270,Hume (C),1.0,100.0,,,,,,,
3048,3048,23270,Hume (C),1.0,100.0,,,,,,,
3049,3049,23270,Hume (C),1.0,100.0,,,,,,,
3050,3050,24600,Melbourne (C),1.0,100.0,,,,,,,
3051,3051,24600,Melbourne (C),1.0,100.0,,,,,,,
3052,3052,24600,Melbourne (C),0.9895829,98.9582932,,,,,,,
3052,3052,25250,Moreland (C),0.0104171,1.0417068,,,,,,,
3053,3053,24600,Melbourne (C),1.0,100.0,,,,,,,
3054,3054,24600,Melbourne (C),0.0003616,0.0361604,,,,,,,
3054,3054,25250,Moreland (C),0.0012712,0.1271223,,,,,,,
3054,3054,27350,Yarra (C),0.9983672,99.8367173,,,,,,,
3055,3055,25250,Moreland (C),1.0,99.9999978,,,,,,,
3056,3056,25250,Moreland (C),1.0,100.0,,,,,,,
3057,3057,25250,Moreland (C),1.0,100.0,,,,,,,
3058,3058,21890,Darebin (C),0.0082156,0.8215601,,,,,,,
3058,3058,25250,Moreland (C),0.9917844,99.1784399,,,,,,,
3059,3059,23270,Hume (C),1.0,100.0,,,,,,,
3060,3060,23270,Hume (C),0.0151658,1.5165786,,,,,,,
3060,3060,25250,Moreland (C),0.9848342,98.4834214,,,,,,,
3061,3061,23270,Hume (C),1.0,100.0,,,,,,,
3062,3062,23270,Hume (C),1.0,100.0,,,,,,,
3063,3063,23270,Hume (C),1.0,100.0,,,,,,,
3064,3064,23270,Hume (C),0.9971819,99.7181917,,,,,,,
3064,3064,27070,Whittlesea (C),0.0028181,0.2818083,,,,,,,
3065,3065,27350,Yarra (C),1.0,100.0,,,,,,,
3066,3066,27350,Yarra (C),1.0,100.0,,,,,,,
3067,3067,27350,Yarra (C),1.0,100.0,,,,,,,
3068,3068,25250,Moreland (C),0.0462223,4.6222284,,,,,,,
3068,3068,27350,Yarra (C),0.9537777,95.3777716,,,,,,,
3070,3070,21890,Darebin (C),1.0,99.9999996,,,,,,,
3071,3071,21890,Darebin (C),1.0,100.0,,,,,,,
3072,3072,21890,Darebin (C),1.0,99.9999996,,,,,,,
3073,3073,21890,Darebin (C),1.0,100.0,,,,,,,
3074,3074,27070,Whittlesea (C),1.0,99.999999,,,,,,,
3075,3075,27070,Whittlesea (C),1.0,100.0,,,,,,,
3076,3076,27070,Whittlesea (C),1.0,100.0,,,,,,,
3078,3078,21890,Darebin (C),0.7752043,77.5204255,,,,,,,
3078,3078,27350,Yarra (C),0.2247957,22.4795745,,,,,,,
3079,3079,20660,Banyule (C),1.0,100.0,,,,,,,
3081,3081,20660,Banyule (C),1.0,100.0,,,,,,,
3082,3082,27070,Whittlesea (C),1.0,100.0,,,,,,,
3083,3083,20660,Banyule (C),0.3428564,34.2856412,,,,,,,
3083,3083,21890,Darebin (C),0.2477125,24.7712473,,,,,,,
3083,3083,27070,Whittlesea (C),0.4094311,40.9431104,,,,,,,
3084,3084,20660,Banyule (C),1.0,100.0,,,,,,,
3085,3085,20660,Banyule (C),0.8245372,82.453716,,,,,,,
3085,3085,21890,Darebin (C),0.1754628,17.546284,,,,,,,
3086,3086,21890,Darebin (C),1.0,100.0,,,,,,,
3087,3087,20660,Banyule (C),0.9999999,99.999993,,,,,,,
3088,3088,20660,Banyule (C),0.7976218,79.7621791,,,,,,,
3088,3088,25710,Nillumbik (S),0.2023782,20.2378209,,,,,,,
3089,3089,25710,Nillumbik (S),1.0,100.0,,,,,,,
3090,3090,25710,Nillumbik (S),1.0,100.0,,,,,,,
3091,3091,25710,Nillumbik (S),1.0,100.0,,,,,,,
3093,3093,20660,Banyule (C),1.0,100.0,,,,,,,
3094,3094,20660,Banyule (C),1.0,100.0,,,,,,,
3095,3095,20660,Banyule (C),0.0908261,9.0826095,,,,,,,
3095,3095,25710,Nillumbik (S),0.9091739,90.9173905,,,,,,,
3096,3096,25710,Nillumbik (S),1.0,100.0,,,,,,,
3097,3097,25710,Nillumbik (S),1.0,100.0,,,,,,,
3099,3099,25710,Nillumbik (S),1.0,100.0,,,,,,,
3101,3101,21110,Boroondara (C),0.9993323,99.9332292,,,,,,,
3101,3101,27350,Yarra (C),0.0006677,0.0667708,,,,,,,
3102,3102,21110,Boroondara (C),1.0,100.0,,,,,,,
3103,3103,21110,Boroondara (C),1.0,100.0,,,,,,,
3104,3104,21110,Boroondara (C),0.9883612,98.8361176,,,,,,,
3104,3104,26980,Whitehorse (C),0.0116388,1.1638824,,,,,,,
3105,3105,24210,Manningham (C),1.0,99.9999991,,,,,,,
3106,3106,24210,Manningham (C),1.0,100.0,,,,,,,
3107,3107,24210,Manningham (C),1.0,100.0,,,,,,,
3108,3108,24210,Manningham (C),1.0,99.9999995,,,,,,,
3109,3109,24210,Manningham (C),1.0,100.0,,,,,,,
3111,3111,24210,Manningham (C),1.0,100.0,,,,,,,
3113,3113,24210,Manningham (C),0.6515486,65.1548608,,,,,,,
3113,3113,25710,Nillumbik (S),0.3484514,34.8451392,,,,,,,
3114,3114,24210,Manningham (C),0.9864577,98.645772,,,,,,,
3114,3114,24410,Maroondah (C),0.0135423,1.354228,,,,,,,
3115,3115,24210,Manningham (C),0.805821,80.5821035,,,,,,,
3115,3115,24410,Maroondah (C),0.0900536,9.005362,,,,,,,
3115,3115,27450,Yarra Ranges (S),0.1041253,10.4125346,,,,,,,
3116,3116,27450,Yarra Ranges (S),1.0,100.0,,,,,,,
3121,3121,27350,Yarra (C),1.0,100.0,,,,,,,
3122,3122,21110,Boroondara (C),1.0,99.9999995,,,,,,,
3123,3123,21110,Boroondara (C),1.0,100.0,,,,,,,
3124,3124,21110,Boroondara (C),1.0,100.0,,,,,,,
3125,3125,24970,Monash (C),0.1829871,18.2987089,,,,,,,
3125,3125,26980,Whitehorse (C),0.8170129,81.7012911,,,,,,,
3126,3126,21110,Boroondara (C),1.0,100.0,,,,,,,
3127,3127,21110,Boroondara (C),0.461528,46.1528,,,,,,,
3127,3127,26980,Whitehorse (C),0.538472,53.8472,,,,,,,
3128,3128,26980,Whitehorse (C),1.0,100.0,,,,,,,
3129,3129,26980,Whitehorse (C),1.0,100.0,,,,,,,
3130,3130,26980,Whitehorse (C),1.0,100.0,,,,,,,
3131,3131,24210,Manningham (C),0.0137619,1.3761919,,,,,,,
3131,3131,26980,Whitehorse (C),0.9862381,98.6238081,,,,,,,
3132,3132,26980,Whitehorse (C),1.0,100.0,,,,,,,
3133,3133,24410,Maroondah (C),0.0167206,1.6720577,,,,,,,
3133,3133,26980,Whitehorse (C),0.9832794,98.3279423,,,,,,,
3134,3134,24210,Manningham (C),0.0304945,3.0494537,,,,,,,
3134,3134,24410,Maroondah (C),0.9695055,96.9505463,,,,,,,
3135,3135,24410,Maroondah (C),1.0,100.0,,,,,,,
3136,3136,24410,Maroondah (C),1.0,100.0,,,,,,,
3137,3137,24410,Maroondah (C),0.349479,34.9478977,,,,,,,
3137,3137,27450,Yarra Ranges (S),0.650521,65.0521023,,,,,,,
3138,3138,27450,Yarra Ranges (S),1.0,100.0,,,,,,,
3139,3139,21450,Cardinia (S),0.0001362,0.0136186,,,,,,,
3139,3139,27450,Yarra Ranges (S),0.9998638,99.9863814,,,,,,,
3140,3140,27450,Yarra Ranges (S),1.0,100.0,,,,,,,
3141,3141,24600,Melbourne (C),0.231444,23.1444007,,,,,,,
3141,3141,26350,Stonnington (C),0.768556,76.8555993,,,,,,,
3142,3142,21110,Boroondara (C),0.0013068,0.1306823,,,,,,,
3142,3142,26350,Stonnington (C),0.9986932,99.8693169,,,,,,,
3143,3143,26350,Stonnington (C),1.0,100.0,,,,,,,
3144,3144,26350,Stonnington (C),1.0,100.0,,,,,,,
3145,3145,21110,Boroondara (C),0.0006565,0.0656492,,,,,,,
3145,3145,22310,Glen Eira (C),0.0569426,5.694259,,,,,,,
3145,3145,26350,Stonnington (C),0.9424009,94.2400919,,,,,,,
3146,3146,21110,Boroondara (C),0.6350176,63.5017583,,,,,,,
3146,3146,26350,Stonnington (C),0.3649824,36.4982417,,,,,,,
3147,3147,21110,Boroondara (C),0.5612872,56.1287169,,,,,,,
3147,3147,24970,Monash (C),0.4387128,43.8712831,,,,,,,
3148,3148,24970,Monash (C),1.0,100.0,,,,,,,
3149,3149,24970,Monash (C),1.0,100.0,,,,,,,
3150,3150,24970,Monash (C),0.9999983,99.9998326,,,,,,,
3151,3151,26980,Whitehorse (C),1.0,100.0,,,,,,,
3152,3152,23670,Knox (C),1.0,100.0,,,,,,,
